Comunidad Autónoma;Provincia;Sector Técnico;Subsector Técnico;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Extremadura;Badajoz;Otros campos;Otros bienes de consumo;0;0;1;1;0;0;0;0;0;0
Extremadura;Badajoz;Otros campos;Ingeniería civil;2;1;0;1;1;1;0;1;3;2
Cataluña;Barcelona;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;1;0;0
Cataluña;Barcelona;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;32;13;20;21;31;17;17;32;23;10
Cataluña;Barcelona;Ingeniería eléctrica;Tecnología audio-visual;7;5;8;6;6;7;3;1;4;5
Cataluña;Barcelona;Ingeniería eléctrica;Telecomunicaciones;10;9;6;7;7;2;1;3;2;6
Cataluña;Barcelona;Ingeniería eléctrica;Comunicación Digital;2;1;3;1;4;3;6;7;5;1
Cataluña;Barcelona;Ingeniería eléctrica;Procesos básicos de la comunicación;0;1;3;1;5;0;1;0;1;0
Cataluña;Barcelona;Ingeniería eléctrica;Tecnología Informática;9;5;10;9;9;10;2;7;7;2
Cataluña;Barcelona;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;2;3;2;1;5;1;1;6;4;3
Cataluña;Barcelona;Ingeniería eléctrica;Semiconductores;0;1;1;3;3;2;1;0;2;0
Cataluña;Barcelona;Instrumentos;Óptica;6;8;6;4;7;1;4;2;3;3
Cataluña;Barcelona;Instrumentos;Medida;26;18;14;16;19;14;15;16;7;9
Cataluña;Barcelona;Instrumentos;Análisis de materiales biológicos;2;4;3;2;0;3;3;1;0;0
Cataluña;Barcelona;Instrumentos;Control;15;14;18;13;15;11;11;9;2;4
Cataluña;Barcelona;Instrumentos;Tecnología médica;34;36;30;37;31;24;33;40;21;22
Cataluña;Barcelona;Química;Química orgánica precisa;37;18;20;16;13;10;4;7;4;7
Cataluña;Barcelona;Química;Biotecnología;10;13;7;14;7;10;2;3;2;1
Cataluña;Barcelona;Química;Productos Farmacéuticos;28;19;20;20;11;19;5;6;8;6
Cataluña;Barcelona;Química;Química macromolecular, polímeros;3;1;2;1;1;3;3;1;1;0
